Date;AHCSFin;BRESFin;COMBFin;DBISFin;DICOFin;DOBKFin;ERESFin;GISSFin;GWCSFin;IGRDFin;IHGSFin;IQCDFin;KINSFin;MCCSFin;MERSFin;MPHCFin;MRDSFin;NLCSFin;ORDSFin;QAMCFin;QANCFin;QEASFin;QEWCFin;QFBQFin;QFLSFin;QGIRFin;QGTSFin;QIGDFin;QIIBFin;QIICFin;QIMCFin;QINSFin;QNBKFin;QNNCFin;QOISFin;SALMFin;UDCDFin;VFQSFin;WDAMFin;ZHCDFin;;;;
12/01/2019;-0.011251877;0.035949234;-0.000714796;0.004942589;-0.00486619;0.058154286;0.035595391;-0.003149609;0.001777778;-0.027175585;-0.004743092;0.00;0.018803973;0.006349228;0.005129678;0.004471422;0.010695289;-0.012121361;0.017950411;-0.017795441;-0.005502918;0.013095511;0.00836825;-0.004133661;-0.001900539;0.010686325;0.005865119;0.005123837;0.015174798;0.009852296;-0.009136763;0.010560744;-0.008425991;0.006472515;0.005763705;0.007728677;0.019928196;-0.002076844;0.026317308;-0.072039402;;;;
13/01/2019;0.000706964;0.008438869;-0.031598779;-0.011082062;-0.01089929;-0.00767127;-0.018576386;0.012539349;-0.010714388;0.015037877;-0.007955491;-0.006688988;0.00;-0.001266625;-0.001137657;-0.00255265;-0.001419447;-0.015980672;0.001870908;0.059843677;-0.006767174;-0.003601251;0.00;-0.003804258;-0.017627864;-0.016390365;0.023122417;0.001702128;-0.007558615;0.00;-0.060139331;-0.007131813;-0.007288808;0.005361943;0.010481277;-0.001712329;0.000896459;0.010341354;0.002881846;0.00;;;;
14/01/2019;0.010544913;0.00139958;0.037658324;-0.008540768;0.037638851;-0.002754064;0.004365458;-0.00938974;0.019556179;0.017485314;0.009539023;0.006688988;0.015126339;0.00;0.010192614;-0.005124931;-0.012147345;0.00925076;-0.002807676;-0.028338958;0.010072558;0.006562384;0.01242252;-0.004166673;0.012400387;0.016807118;-0.002451983;-0.001702128;0.001516301;0.00;0.004737573;-0.011738142;0.024725351;-0.010752792;-0.014320054;0.002567396;0.005361943;-0.01242252;-0.014493007;0.00;;;;
15/01/2019;0.010434877;0.013889112;-0.007490672;-0.002368968;0.00;0.011789033;-0.01694424;-0.014252023;-0.005295688;-0.01342302;-0.019169916;-0.000833681;0.042455355;0.013845407;0.025036078;-0.002572349;0.036701367;-0.024861442;-0.001876173;0.006033201;-0.015643603;0.00204361;-0.004123717;0.002085506;0.005861392;-0.075711822;0.002451983;-0.011996716;0.009049836;0.00;0.00;0.017633288;0.023489384;0.005390849;-0.003853569;0.020305266;0.002670229;0.01242252;0.014493007;0.00;;;;
16/01/2019;0.042011598;0.008241805;0.019851769;-0.004456997;0.00;0.024765734;-0.005712488;0.004773279;0.007054703;-0.027398974;-0.011354542;-0.001669449;-0.016929062;-0.003757049;0.015808451;0.010887075;-0.018182319;0.00;-0.00376294;-0.017444508;0.004459316;-0.000899607;-0.016667052;-0.00104221;0.014123146;-0.081917122;0.00;-0.019147669;0.00449439;-0.005899722;0.019461139;-0.008231777;-0.002305034;0.009630893;0.012470186;0.017435062;-0.000444543;-0.01346473;-0.007220248;0.001223803;;;;
17/01/2019;0.021661497;0.010884461;-0.016991559;-0.004476951;-0.022952702;-0.007740597;0.015161377;0.004750603;0.00;0.016529302;0.00;0.00250313;0.016129382;-0.005031457;0.005393756;0.00063674;0.009132484;0.013750217;0.008446789;-0.003832891;-0.009063319;0.00830883;0.00042008;-0.011888252;0.037472877;-0.06031979;-0.00737406;-0.007054703;0.00596127;0.00;-0.02444868;-0.01192358;0.002305034;-0.006410278;0.005703438;-0.016597891;0.012812192;0.007272759;0.002894358;0.001222307;;;;
18/01/2019;-0.001299545;-0.010884461;0.029201723;-0.013855643;-0.003786859;0.005078188;-0.006920443;-0.001581028;0.00;-0.022100347;-0.006546668;-0.004175371;0.038451186;0.003775964;-0.010273137;0.005079376;-0.011251877;-0.013121088;-0.000935016;0.012213892;0.039973543;-0.002270351;-0.00042008;0.00;-0.006171203;0.06031979;0.009005382;0.001768347;0.005925943;0.005899722;0.00;-0.003478264;0.00;0.002141328;-0.017208838;-0.008403411;0.003068159;-0.011452494;0.011494379;0.009573814;;;;
19/01/2019;-0.011772536;-0.013774322;-0.025637927;0.001212489;0.013459153;-0.006418851;-0.015267472;0.00315956;-0.01594365;0.00;0.00;0.002507314;0.016036999;0.002509412;-0.000543626;-0.008905911;-0.00425231;-0.000629129;0.015777589;-0.005325231;0.002274224;-0.003757718;-0.001261299;-0.009187344;0.00;-0.050010421;-0.000815328;0.00;0.029114138;-0.007874056;0.01242252;0.010712138;-0.012873504;0.00;-0.009689998;-0.021322769;-0.007026819;-0.003146306;-0.005730675;0.00;;;;
20/01/2019;0.006557401;-0.00695897;0.01026376;0.012343977;0.00;-0.010248202;-0.00643089;-0.00315956;0.00;0.015246311;-0.021577601;-0.010067199;0.003025721;0.00;-0.002722572;-0.001918773;-0.019362383;-0.024849957;0.003676475;0.001524391;-0.014329826;-0.008241906;0.001261299;-0.004982217;0.005569176;0.012739026;-0.000815994;-0.001768347;-0.012996573;0.009832921;0.00;0.001096234;-0.013632276;0.00;-0.008802013;0.011996716;-0.003974393;-0.001050972;0.002869442;0.00;;;;
21/01/2019;-0.006557401;-0.014064929;0.00;-0.040610068;-0.02710193;-0.021370676;-0.01168086;-0.028894466;-0.018018506;0.0430753;-0.016920877;-0.009318153;0.055814779;-0.010075652;-0.021494352;0.00;0.005055988;0.00;-0.026023773;-0.009181396;-0.007670337;-0.011348027;-0.012259718;-0.002142858;-0.019868203;-0.007623925;0.006103783;-0.008888947;-0.00583092;0.025122094;0.001480385;0.005930105;-0.013820686;0.005333346;-0.004923693;-0.003412973;-0.00221484;-0.002105264;-0.001433692;0.005881039;;;;
